timestamp,project_id,instance_name,zone,machine_type,cpu_utilization_pct,memory_used_pct,disk_read_bytes_sec,disk_write_bytes_sec,network_in_bytes_sec,network_out_bytes_sec,is_idle_candidate,utilization_category
2026-08-31T00:00:00Z,calm-catfish-464514-t6,gcp-ai-node-1,us-central1-a,e2-micro,17.7,41.7,12000,8500,45000,28000,False,HEALTHY_BURST
2026-08-31T00:00:00Z,calm-catfish-464514-t6,analytics-worker-large,us-central1-b,e2-standard-4,2.4,14.5,150,80,2000,1200,True,SEVERELY_UNDERUTILIZED
2026-08-31T00:00:00Z,calm-catfish-464514-t6,gcp-ai-worker-dev,us-central1-a,e2-medium,1.0,11.7,50,20,500,300,True,ZOMBIE_IDLE_CANDIDATE
2026-08-31T00:00:00Z,calm-catfish-464514-t6,postgres-primary-db,us-central1-c,db-custom-2-7680,67.6,78.2,850000,420000,1250000,980000,False,OPTIMAL_HIGH_USAGE
2026-08-31T01:00:00Z,calm-catfish-464514-t6,gcp-ai-node-1,us-central1-a,e2-micro,18.1,42.0,12000,8500,45000,28000,False,HEALTHY_BURST
2026-08-31T01:00:00Z,calm-catfish-464514-t6,analytics-worker-large,us-central1-b,e2-standard-4,2.8,14.8,150,80,2000,1200,True,SEVERELY_UNDERUTILIZED
2026-08-31T01:00:00Z,calm-catfish-464514-t6,gcp-ai-worker-dev,us-central1-a,e2-medium,1.4,12.0,50,20,500,300,True,ZOMBIE_IDLE_CANDIDATE
2026-08-31T01:00:00Z,calm-catfish-464514-t6,postgres-primary-db,us-central1-c,db-custom-2-7680,68.0,78.5,850000,420000,1250000,980000,False,OPTIMAL_HIGH_USAGE
2026-08-31T02:00:00Z,calm-catfish-464514-t6,gcp-ai-node-1,us-central1-a,e2-micro,18.5,42.3,12000,8500,45000,28000,False,HEALTHY_BURST
2026-08-31T02:00:00Z,calm-catfish-464514-t6,analytics-worker-large,us-central1-b,e2-standard-4,3.2,15.1,150,80,2000,1200,True,SEVERELY_UNDERUTILIZED
2026-08-31T02:00:00Z,calm-catfish-464514-t6,gcp-ai-worker-dev,us-central1-a,e2-medium,1.8,12.3,50,20,500,300,True,ZOMBIE_IDLE_CANDIDATE
2026-08-31T02:00:00Z,calm-catfish-464514-t6,postgres-primary-db,us-central1-c,db-custom-2-7680,68.4,78.8,850000,420000,1250000,980000,False,OPTIMAL_HIGH_USAGE
2026-08-31T03:00:00Z,calm-catfish-464514-t6,gcp-ai-node-1,us-central1-a,e2-micro,18.9,41.7,12000,8500,45000,28000,False,HEALTHY_BURST
2026-08-31T03:00:00Z,calm-catfish-464514-t6,analytics-worker-large,us-central1-b,e2-standard-4,3.6,14.5,150,80,2000,1200,True,SEVERELY_UNDERUTILIZED
2026-08-31T03:00:00Z,calm-catfish-464514-t6,gcp-ai-worker-dev,us-central1-a,e2-medium,2.2,11.7,50,20,500,300,True,ZOMBIE_IDLE_CANDIDATE
2026-08-31T03:00:00Z,calm-catfish-464514-t6,postgres-primary-db,us-central1-c,db-custom-2-7680,68.8,78.2,850000,420000,1250000,980000,False,OPTIMAL_HIGH_USAGE
